tanggal,ronde,volume_idr,loss_idr,win_rate_pct,net_idr,vip_flag,vip_progress_pct
2026-07-01 11:30,5,2500,-25.45,100.0,25.45,bronze,87.24
2026-07-01 11:35,50,25010.00,250.48,98.0,-250.48,bronze,87.25
2026-07-01 11:38,50,25010.00,250.48,98.0,-250.48,bronze,87.25
2026-07-01 11:58,5,2500,-25.45,100.0,25.45,bronze,87.25
